T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
20,Andorra,2015,Major trading partner 3 (% of imports),Germany,,3.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
20,Andorra,2021,Major trading partner 3 (% of imports),Germany,,4.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2010,Major trading partner 1 (% of exports),China,,39.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2015,Major trading partner 1 (% of exports),China,,42.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2021,Major trading partner 1 (% of exports),China,,61.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2010,Major trading partner 1 (% of imports),China,,10.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2015,Major trading partner 1 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2021,Major trading partner 1 (% of imports),China,,14.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2010,Major trading partner 2 (% of exports),India,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2015,Major trading partner 2 (% of exports),India,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2021,Major trading partner 2 (% of exports),India,,9.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2010,Major trading partner 2 (% of imports),France,,4.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2015,Major trading partner 2 (% of imports),France,,3.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2021,Major trading partner 2 (% of imports),France,,14.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2010,Major trading partner 3 (% of exports),Spain,,1.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2015,Major trading partner 3 (% of exports),Spain,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2021,Major trading partner 3 (% of exports),Spain,,3.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2010,Major trading partner 3 (% of imports),Portugal,,14.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2015,Major trading partner 3 (% of imports),Portugal,,12.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
24,Angola,2021,Major trading partner 3 (% of imports),Portugal,,12.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2015,Major trading partner 1 (% of exports),Chile,,0.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2021,Major trading partner 1 (% of exports),Chile,,80.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2010,Major trading partner 1 (% of imports),Chile,,0.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2015,Major trading partner 1 (% of imports),Chile,,0.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2021,Major trading partner 1 (% of imports),Chile,,46.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2010,Major trading partner 2 (% of exports),Armenia,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2015,Major trading partner 2 (% of exports),Armenia,,0.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2021,Major trading partner 2 (% of exports),Armenia,,3.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
660,Anguilla,2010,Major trading partner 2 (% of imports),United States,,55.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
